stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity
L’homme africain est pauvre mais digne,misc,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,African man is poor but worthy,Wolof * Peulh *
Strong,women,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,vi,Strong,Kikuyu * Luo *
Educated,women,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Educated,Kikuyu * Luo *
Nurturing,women,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,lt,Nurturing,Kikuyu * Luo *
Caring,women,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Caring,Kikuyu * Luo *
Empathetic,women,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Empathetic,Kikuyu * Luo *
Beautiful,women,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,fr,Beautiful,Kikuyu * Luo *
Girlhood,women,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,pt,Girlhood,Kikuyu * Luo *
Stylish,women,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Stylish,Kikuyu * Luo *
Leader,men,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,pt,Leader,Kikuyu * Luo *
People from Uganda are generous,ethnicity_region,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,People from Uganda are generous,Kikuyu * Luo *
people from Nigeria are funny,ethnicity_region,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,no,people from Nigeria are funny,Kikuyu * Luo *
People from Nigeria are loud,ethnicity_region,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,People from Nigeria are loud,Kikuyu * Luo *
People from Kenya are energetic,ethnicity_region,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,no,People from Kenya are energetic,Kikuyu * Luo *
People from South Africa are cultured,ethnicity_region,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,People from South Africa are cultured,Kikuyu * Luo *
Muslims are devoted,religion,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Muslims are devoted,Kikuyu * Luo *
Christians are judgemental,religion,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,nl,Christians are judgemental,Kikuyu * Luo *
Christians are community focussed,religion,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Christians are community focussed,Kikuyu * Luo *
Young people are innovative,age,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Young people are innovative,Kikuyu * Luo *
Young people are impatient,age,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Young people are impatient,Kikuyu * Luo *
old people are traditional,age,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,old people are traditional,Kikuyu * Luo *
old people are inconsiderate,age,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,old people are inconsiderate,Kikuyu * Luo *
young people are non-committal,age,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,young people are non-committal,Kikuyu * Luo *
Teachers are kind,profession,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Teachers are kind,Kikuyu * Luo *
Lawyers are ruthless,profession,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Lawyers are ruthless,Kikuyu * Luo *
Artists are creative,profession,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Artists are creative,Kikuyu * Luo *
Finance people are hardworking,profession,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Finance people are hardworking,Kikuyu * Luo *
No more,misc,29,Female  *,18–25 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,pt,No more,Kikuyu * Luo *
Women are caregivers,women,30,Male *,26–35 *,Employed *,Engineering  *,Christianity  *,Kenya  *,Kenyan *,en,Women are caregivers,Kikuyu * Luo *
Men are providers,men,30,Male *,26–35 *,Employed *,Engineering  *,Christianity  *,Kenya  *,Kenyan *,da,Men are providers,Kikuyu * Luo *
People from the west are aesthetics,ethnicity_region,30,Male *,26–35 *,Employed *,Engineering  *,Christianity  *,Kenya  *,Kenyan *,en,People from the west are aesthetics,Kikuyu * Luo *
Traditional worshippers are backward,religion,30,Male *,26–35 *,Employed *,Engineering  *,Christianity  *,Kenya  *,Kenyan *,en,Traditional worshippers are backward,Kikuyu * Luo *
Young people are immature,age,30,Male *,26–35 *,Employed *,Engineering  *,Christianity  *,Kenya  *,Kenyan *,en,Young people are immature,Kikuyu * Luo *
Traders are persuasive,profession,30,Male *,26–35 *,Employed *,Engineering  *,Christianity  *,Kenya  *,Kenyan *,pt,Traders are persuasive,Kikuyu * Luo *
People are lightweight,misc,30,Male *,26–35 *,Employed *,Engineering  *,Christianity  *,Kenya  *,Kenyan *,en,People are lightweight,Kikuyu * Luo *
Les femmes ne sont pas malignes,women,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Women are not malignant,Wolof *
les femmes sont problématiques,women,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Women are problematic,Wolof *
Les hommes sont les chefs,men,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Men are the chiefs,Wolof *
les hommes ont trop de charges,men,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Men have too many charges,Wolof *
Les serreres sont trop rigoureux,ethnicity_region,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,The greenhouses are too rigorous,Wolof *
les peulhs aiment se marier en famille,ethnicity_region,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Peulhs like to get married with family,Wolof *
Les chrétiens sont bien éduques,religion,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Christians are well educated,Wolof *
réservées,religion,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,reserved,Wolof *
Les jeunes sont impolis,age,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Young people are rude,Wolof *
les vieux sont des privilégiés,age,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Old people are privileged,Wolof *
Les professeurs sont des personnes compliqués,profession,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,The teachers are complicated people,Wolof *
les menuisiers plombiers etcc sont des laxistes,profession,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,"plumbers, etc. are laxists",Wolof *
Les femmes sont matérialistes,misc,31,Female  *,26–35 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Women are materialists,Wolof *
Women are caring,women,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,en,Women are caring,Luo *
Women are emotional thinkers,women,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,en,Women are emotional thinkers,Luo *
Women are hardworking,women,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,af,Women are hardworking,Luo *
Men are providers,men,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,da,Men are providers,Luo *
Men are strategic thinkers,men,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,en,Men are strategic thinkers,Luo *
Kalenjins are traditional,ethnicity_region,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,sq,Kalenjins are traditional,Luo *
Kikuyus are street smart,ethnicity_region,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,et,Kikuyus are street smart,Luo *
Luos are extravagant,ethnicity_region,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,ca,Luos are extravagant,Luo *
Muslims are generous,religion,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,af,Muslims are generous,Luo *
Christians are judgmental,religion,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,fr,Christians are judgmental,Luo *
Old people are risk averse,age,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,no,Old people are risk averse,Luo *
old people are ambitious,age,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,en,old people are ambitious,Luo *
young people are spontaneous,age,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,en,young people are spontaneous,Luo *
young people are self actualized,age,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,en,young people are self actualized,Luo *
Creatives are open minded,profession,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,en,Creatives are open minded,Luo *
investment bankers are arrogant,profession,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,nl,investment bankers are arrogant,Luo *
actuaries are smart,profession,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,ro,actuaries are smart,Luo *
doctors are smart,profession,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,en,doctors are smart,Luo *
Upbringing,misc,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,tl,Upbringing,Luo *
social status,misc,32,Male *,26–35 *,Employed *,Management Consulting *,Christianity  *,Kenya  *,Kenyan *,it,social status,Luo *
Les femmes ne sont pas voyantes,women,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Women are not showy,Wolof * Peulh *
les femmes ont un esprit court comme leur sein,women,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Women have a short spirit as their breast,Wolof * Peulh *
les femmes sont incomplètes et c'est pourquoi elles changent de domicile après le mariage.,women,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Women are incomplete and that is why they change their homes after marriage.,Wolof * Peulh *
Les hommes sont fort,men,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Men are strong,Wolof * Peulh *
les hommes sont previsibles,men,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Men are predictable,Wolof * Peulh *
les hommes sont complets ( physiquement),men,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Men are complete (physically),Wolof * Peulh *
Les peulhs sont sales,ethnicity_region,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,The Peulhs are dirty,Wolof * Peulh *
les sereres sont gourmands,ethnicity_region,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,The sereres are greedy,Wolof * Peulh *
Les chrétiens sont éduqué,religion,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Christians are educated,Wolof * Peulh *
Les jeunes sont irresponsable,age,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Young people are irresponsible,Wolof * Peulh *
Les sociologues sont bavards,profession,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Sociologists are talkative,Wolof * Peulh *
les avocats sont riches,profession,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,fr,Lawyers are rich,Wolof * Peulh *
Non,misc,33,Female  *,26–35 *,Self-employed *,,Islam  *,Senegal *,Senegalese *,en,Non,Wolof * Peulh *
Les femmes sont fragiles,women,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Women are fragile,Fon
les femmes sont faibles,women,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Women are weak,Fon
les femmes sont inferieurs aux hommes,women,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Women are inferior to men,Fon
les femmes doivent rester à la maison pour s'occuper des enfants,women,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Women must stay at home to take care of children,Fon
les femmes sont celles qui éduquent les enfants,women,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Women are the ones that educate children,Fon
Les hommes sont forts,men,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Men are strong,Fon
les hommes sont le socle de la famille,men,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Men are the family base,Fon
les hommes doivent rapporter l'argent à la maison,men,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Men must bring money home,Fon
les hommes ne sont pas sensibles,men,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Men are not sensitive,Fon
les hommes ne doivent pas pleurer,men,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Men must not cry,Fon
les hommes ne doivent pas montrer leurs emotions,men,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Men must not show their emotions,Fon
les hommes sont infidèles,men,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Men are unfaithful,Fon
les hommes ne sont pas digne de confiance,men,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Men are not trustworthy,Fon
Les pratiquants de la religion vodoun sont des sorciers,ethnicity_region,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,The practitioners of the Vodoun religion are wizards,Fon
les musulmans sont sale,ethnicity_region,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Muslims are dirty,Fon
Les musulmans sont sales,religion,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Muslims are dirty,Fon
les pratiquants des religions endogènes sont des sorciers,religion,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Practitioners of endogenous religions are wizards,Fon
Les jeunes sont inconscients,age,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Young people are unconscious,Fon
les jeunes sont frivoles,age,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Young people are frivolous,Fon
les jeunes sont immatures,age,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Young people are immature,Fon
les jeunes sont trop capricieux,age,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Young people are too capricious,Fon
Les medecins sont sans emotions/sans coeur,profession,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,The doctors are without emotions/heartless,Fon
les traders sont inconscients,profession,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Traders are unconscious,Fon
les avocats sont des menteurs,profession,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,fr,Lawyers are liars,Fon
Non,misc,34,Female  *,26–35 *,Employed *,Recherche *,Christianity  *,Senegal *,Beninois *,en,Non,Fon
